itemId,oof_Ymax
5,1266.1848404327604
10,865.9387580469763
13,984.8478895595731
30,505.64240366729314
32,726.517558496255
48,1116.4711872989121
64,558.0975399466926
78,671.3845619568184
90,581.1917527787346
118,1416.6917243707799
137,1171.6686724940685
142,719.0949266423155
161,982.3136591655013
168,1039.6826894775545
190,1472.2020750447498
229,836.6845318951716
260,1014.7102140804177
285,596.5052117662244
286,660.7021400655301
441,786.8297606841691
486,965.7160145104706
511,896.0364055149818
572,1701.9526888044788
576,845.2236796184118
577,1102.1751025412855
622,1146.6179139152962
667,584.2653076470157
678,736.7565589522535
794,1417.631579624587
801,867.0065166640973
813,1558.3125967664748
843,1045.570413108235
910,987.5460394650098
998,957.9346823771594
1024,820.7445912987408
1032,568.8485132978911
1067,1072.5402566834925
1095,586.4296569964923
1125,978.7314856560076
1147,746.5432099092044
1275,754.1002334832352
1412,911.5183472821838
1451,672.0131552443291
1467,517.3403948043974
1473,1153.4154354281197
1490,477.2829544730275
1518,921.9222410610133
1571,873.2309611675214
1587,752.9036263678976
1614,1551.0826299151154
1661,543.7326521197728
1690,739.3936527692139
1691,561.7796897619454
1751,831.4616388448115
1811,535.2322977607676
1817,1010.6905688756688
1983,924.5459852333056
2001,1006.0395377387948
2014,963.4683456400028
2053,1397.5806798640817
2059,1438.0727741009528
2247,720.4934873852774
2373,1201.1366360649795
2509,1003.3889312969083
2613,1008.384225740879
2636,1099.2755049436348
2647,1266.543463368799
2665,1175.1258611078574
2685,1104.311028849697
2721,1062.7736293253577
2722,500.78448165815706
2746,909.6589360732438
2757,1120.4237827477657
2765,1162.5200277627673
2776,651.5900054083583
2780,762.8332754006561
2786,1130.8520324484027
2891,1210.6553262073012
2901,999.8832820650225
2969,770.4116862151798
3009,1183.4081140970702
3019,1081.9134110939156
3038,694.7906525660959
3118,1591.8769017413626
3135,625.4187313337267
3143,599.3393410124107
3146,1238.5758495357038
3185,803.0969302469122
3281,488.90719376923397
3382,1168.6068282356403
3412,1028.4318236195836
3414,1069.7559494232291
3420,801.5339121334301
3433,1171.2210460571298
3452,657.599957127861
3589,815.1767021607343
3775,760.7084555577479
3777,738.9568848150248
3811,1668.2634317354455
3816,1250.6617807514388
3927,693.3960034938399
3973,966.5816523865144
4032,1493.4921899268256
4038,512.6271491203272
4048,1332.7369510358753
4052,786.5469210661354
4094,946.4869457997501
4104,718.8624030525883
4117,730.7480904445504
4145,786.1497613104261
4163,839.6324189418609
4220,803.4682278417856
4236,852.9303766427489
4257,674.4411376773418
4322,398.8328421392728
4408,882.7614002860776
4538,1191.8786298693315
4547,706.8005534693267
4549,1199.0643550294155
4557,957.4538443619963
