itemId,Xmax
18,772.2721463562622
19,115.45960189191922
33,378.2186879991384
62,635.83455773875
114,206.43462266483587
146,688.3962824454059
156,163.10217954853016
163,206.05147138550586
164,348.77855777614184
179,343.73122332566345
186,860.4044522615861
215,733.6992153685344
225,96.48619298751497
227,822.1097770225311
247,178.55934806350436
275,706.979506798681
311,579.9813032677628
399,387.85546666295863
421,259.2419798590807
432,309.76747439399173
442,186.47913679969963
459,197.70484942222816
492,277.35302082463284
507,892.948937774996
631,822.6562508909676
707,71.4713171240538
723,831.2891771267766
1003,287.2416141404678
1065,372.5893073419297
1136,773.4318422270017
1187,740.4119412892617
1202,268.14987833176326
1216,673.6386512257837
1263,772.6855048146723
1279,784.8627225052539
1293,286.62371429439537
1306,270.0511469094399
1314,805.6562392595713
1323,686.6709415766692
1364,788.5634560852939
1384,176.2373498380675
1406,257.45569553462303
1408,672.3007001258043
1425,161.36847871459065
1476,493.9545512641962
1508,398.6840364194138
1534,670.329177778443
1542,479.9613178376346
1565,244.25938420411342
1582,270.90387056248017
1620,829.8012650667399
1650,209.63976595792093
1729,760.1323832234857
1748,485.99700924197987
1892,646.8167327992876
2075,749.9383428701944
2081,377.7826058001292
2226,389.97125936015834
2276,110.44928029791609
2288,121.15867819216791
2381,647.2102756794137
2434,298.8898302331727
2440,572.9033253490452
2476,737.7235651713991
2513,154.0540841324543
2528,406.8642845875429
2644,97.18902166399866
2669,611.608536024935
2724,309.84406844375997
2740,752.8691737024593
2766,454.7715765974107
2807,313.0321861155294
2869,51.02075962877805
2874,786.1668367197116
2949,297.4552051259689
3028,700.513709730973
3079,77.25379516330482
3110,483.6922271328425
3232,289.333551612164
3252,706.1405086297599
3301,187.63164048168852
3357,86.97978181546976
3419,711.3125577909295
3449,513.2013490587284
3665,312.53596320190354
3747,507.4576343401862
3769,825.6469404591796
3770,299.92567170513433
3864,690.9206398788813
3895,715.9204531862214
4033,333.70788442262983
4034,273.3383650521949
4063,626.7807597451357
4099,370.18471663979767
4192,711.5786301350923
4195,510.9969091143287
4294,873.2290101683948
4396,858.1760844980193
4462,339.67557550331793
4585,672.1959926749857
4592,63.445154160590235
4593,630.2996461335465
4625,55.948446285658065
4673,643.723164044139
4682,67.45108054047591
4693,547.8903268707484
4724,242.47841421366658
4790,691.3437581552034
4997,291.9761491476216
5066,34.89974646342911
5100,589.7405117222906
5142,577.193972849254
5143,876.1810331200638
5225,562.9793083474462
5236,316.3270687346186
5271,749.9141652848788
5314,734.7499227294825
5332,787.605709581378
5361,563.4181283922408
5380,35.999328189794184
5383,173.92981490277222
5461,304.1952710475337
5489,686.376750750116
5496,661.7029363800694
5520,687.8821094104946
5568,342.17369356775345
5588,606.3574257489649
5620,61.23734017488437
5681,151.12519276237953
5692,190.86089872104446
5704,654.4729824877606
5740,143.90925476761973
5747,389.0019877526162
5856,814.9840271629471
5913,549.5260931761304
5970,251.0095155372095
6109,467.27189691325043
6163,779.1398671342613
6244,450.9677748443355
6254,191.45062083221097
6516,177.51425251568674
6520,853.6646803766168
6544,260.5553223165574
6658,404.32196772014186
6668,380.7790259489475
6770,368.46503570470634
6821,432.303516992495
6822,716.5071475069428
6853,639.787124478025
7133,616.0744368155396
7279,353.77218500852285
7318,344.85066967498426
7384,373.47558603068825
7418,131.66325750552392
7448,792.5183428742237
7506,38.20193409225624
7581,98.45052079091826
7629,131.1212182451036
7683,389.31871596466226
7693,789.2805543016144
7778,190.8885540660593
7838,458.5804342926749
7856,121.05449203178203
7884,662.6938098772014
7888,779.677101606502
7939,271.52327686633873
7989,718.6441211308244
8065,710.2954198560877
8108,750.5878117060406
8126,801.670782388589
8182,561.3614895507204
8189,159.55315358304648
8199,297.01022846810207
8200,736.2400039343337
8204,163.21482751629281
8280,884.1872581752176
8319,469.59740153718394
8358,36.45865893180166
8446,645.5976525137094
8465,371.0308207584867
8490,694.052422045125
8516,280.1114144278534
8562,690.9892350150534
8578,121.40086028797123
8610,301.88192716285516
