itemId,Ymin
18,640.8860878268856
19,582.3912054951028
33,375.1709777371167
62,873.9166494962274
114,594.7642334227701
146,406.923979544518
156,803.8243977729393
163,336.43283071385935
164,226.98330437973857
179,497.43568116539075
186,848.3831741818126
215,616.6120864598275
225,692.5472745058137
227,831.9288468076093
247,624.4020031161659
275,466.9099923899114
311,621.7547374873459
399,777.5437975647653
421,917.186533170176
432,818.0656206166399
442,674.1736800512786
459,344.3013846166315
492,1046.0498484371135
507,195.7941293386043
631,588.7396185921277
707,817.626723159191
723,168.18832881355644
1003,597.8688332541806
1065,836.7841263202401
1136,816.8682454480947
1187,625.5610593833396
1202,750.230698402136
1216,616.135148154871
1263,759.4899417535182
1279,188.3695687178713
1293,492.8941303872225
1306,418.5786694307474
1314,676.0780415577381
1323,332.85526809450255
1364,445.66551218538814
1384,424.7170333972393
1406,753.1700662521141
1408,577.9022126190248
1425,809.2970316257768
1476,504.6594325424152
1508,806.7304838465124
1534,532.252600820807
1542,821.1883065407985
1565,703.563123862838
1582,414.58760007754415
1620,355.71664790277566
1650,587.4886836233651
1729,486.5918872334091
1748,484.5465956158829
1892,334.3167672860185
2075,171.62335544559585
2081,253.4678917818293
2226,949.6976854864673
2276,802.5627701311817
2288,511.17970636542844
2381,266.38127781372634
2434,741.7874788312777
2440,531.6571777144545
2476,164.29230940515131
2513,529.464162284526
2528,385.3328949439328
2644,724.1330544837903
2669,497.9615510016439
2724,487.64289341866663
2740,289.39544556115686
2766,572.2045132595738
2807,1000.0386294919057
2869,508.2991482569021
2874,170.97333909246964
2949,966.4237972469192
3028,398.7261131200921
3079,359.00327423061856
3110,655.0876510474465
3232,352.3689132604334
3252,847.9786002433049
3301,1003.0549692801428
3357,675.7658784432767
3419,814.9613788658783
3449,778.0459463556515
3665,876.9418350747238
3747,689.6197042305776
3769,267.14328083097945
3770,628.065242817081
3864,262.08416745555195
3895,184.9580335142329
4033,602.2806113798418
4034,465.87181403315446
4063,726.3050251119291
4099,859.1040385893042
4192,715.5271676802822
4195,1083.9165937238374
4294,516.6106456727654
4396,591.4622101029507
4462,1094.5716571684334
