itemId,oof_Ymin
5,903.8197346728891
10,576.1074571349922
13,573.4788563926402
30,334.42948227763145
32,416.92620210127694
48,1036.5488227719288
64,438.3480673421234
78,196.98865788251024
90,250.1720470816633
118,1192.677005314283
137,705.9526827765243
142,303.5173702283644
161,825.9756205676504
168,475.5075704828995
190,781.9141919461841
229,363.02667833154794
260,741.9056918061223
285,329.23455442527114
286,148.38223977513886
441,521.0809209886268
486,695.8577225207843
511,787.2152451106041
572,1073.359225640693
576,466.7260464184822
577,1032.7882831483344
622,790.6709584046491
667,106.97700709596357
678,605.8989755204492
794,836.1146385451243
801,690.2867174877244
813,1005.2335612100126
843,993.0670907425904
910,696.4010177819324
998,474.6919093555501
1024,626.4475257533628
1032,448.73670169973377
1067,641.6939795335799
1095,618.9411091251558
1125,610.5991132783017
1147,659.4256059841312
1275,592.4444829413272
1412,309.52755849314
1451,198.24245553956982
1467,447.3203946639034
1473,911.0398246415443
1490,440.746633388827
1518,417.94056646234276
1571,751.108441093882
1587,685.0772204232368
1614,900.8461639092747
1661,514.742486441597
1690,494.42071282409603
1691,286.84979421220197
1751,515.4702465041339
1811,506.6536540657652
1817,470.2959252325687
1983,702.543226025551
2001,829.6637498044367
2014,542.9694504124569
2053,850.96230406229
2059,1089.5739036956054
2247,303.07897941340826
2373,638.1041978861301
2509,725.7932634423589
2613,815.273550896856
2636,764.5453145319656
2647,1086.8585189715557
2665,575.1951192010889
2685,878.7168111672979
2721,815.0309918522328
2722,333.43901810620224
2746,377.8091109748557
2757,824.6903389253093
2765,821.2101009999811
2776,149.5484200388748
2780,458.3653840555
2786,830.5022729727858
2891,747.7694024200467
2901,638.0046748003223
2969,258.94781058043384
3009,1078.8879248038634
3019,669.1463929669279
3038,538.8492513641384
3118,1049.8048014207586
3135,195.88060941398814
3143,212.86656561225888
3146,759.3555683809557
3185,299.3149284557648
3281,270.49109156892087
3382,959.5664215369947
3412,835.8319387623583
3414,1002.9689312201532
3420,643.8489615382955
3433,641.2132179076601
3452,153.669613561681
3589,699.892886283829
3775,593.8674741353681
3777,173.19277030441648
3811,1068.114039873698
3816,949.501678509972
3927,530.4333022343162
3973,950.17187258456
4032,801.2312454484616
4038,510.95907567777385
4048,666.7234349869427
4052,376.78534685217255
4094,578.9679009505675
4104,233.29865330645922
4117,663.5517043045693
